photoID,attribution
9386b,TL Wong
9385b,Hortense Pittman
9381c,Tatiana Pirogova
9381b,Paul Sorano
9380c,Joan Baker
9380b,Belinda Thibodeaux
9377c,Joan Baker
9377b,AVSA
9366c,Linda Rowe
9366b,David Dick
9363c,AVSA
9363b,Linda Rowe
9356b,Larisa Chernyshova
9355c,Bob Lombard
9355b,Marjorie Bullard
9353c,Kay Mitchell
9353b,Linda Rowe
9352b,Linda Rowe
9351b,Marjorie Bullard
9350c,Marjorie Bullard
9350b,Barb Werness
9349c,Janet Stromborg
9349b,Christel Collier
9347b,Pat Bowling
9343b,Tea Gallela
9341c,Christel Collier
9341b,Joyce Myers
933c,Ann-Marie Keene
933b,Fred C Hill
9337b,Irene Fredette
9336c,Janet Stromborg
9336b,Janet Stromborg
9334c,Anatoly Skryabin
9334b,Linda Rowe
932b,Gary/Rhona Thurman
9329b,Fredette
9327c,Linda Rowe
9327b,Lyndon Lyon
9303b,Angelika Dibley
9300b,Paul Sorano
9292c,June Fallaw
9292b,Schroeder
9290b,AVSA
9280b,Hortense Pittman
9273b,Marjorie Bullard
9269c,Christel Collier
9269b,Linda Rowe
9268c,Marjorie Bullard
9268b,Diane Best
9261b,Armand Kirby
9258c,Hortense Pittman
9258b,AVSA
9254c,Tea Gallela
9254b,Christel Collier
9253b,Aleksey Kolodezhny
9252c,Winston J Goretsky
9252b,Robert Albro
9249b,V. Lorenzen
9244b,Phyllis King
9240c,Hattie Baggett
9240b,Christel Collier
923c,Barb Pershing
923b,David Dick
9237c,Lynda Berggren
9237b,Tatiana Omelchenko
9225b,D Champion
9222c,Linda Rowe
9222b,Ann-Marie Keene
9220b,Joan Thompson
921b,June Fallaw
9213b,Bob Clark
9211b,Hortense Pittman
9210c,Sady Garcia
9210b,Barb Pershing
9205c,Karen Panek
9205b,John Herr
9203b,Aleksey Kolodezhny
9202b,Hattie Baggett
919c,Tea Gallela
919b,Drew^s Violets
9196b,Lyndon Lyon
9195b,Paul Sorano
9189b,Janice Norton
9185b,Iris Keating
9184c,Linda Rowe
9184b,Linda Rowe
917b,David Dick
9174b,Anatoly Skryabin
9172b,AVSA
9170c,Tea Gallela
9170b,Bloomlovers
9168b,Marjorie Bullard
9164c,EvaBritta Thorssell
9164b,Robin J. Rayburn
9163b,AVSA
914b,Nancy Robitaille
9141c,Judith Kinsel
9141b,Kay Darrow
9137b,Iris Keating
9128c,David Dick
9128b,Belinda Thibodeaux
9123b,Marjorie Bullard
9122c,EvaBritta Thorssell
9122b,Drew^s Violets
911b,AVSA
9118b,Hattie Baggett
9113c,Cheryl Stevens
9113b,Fay Wagman
9110b,Fay Hartwick
9103c,June Fallaw
9103b,AVSA
9101c,David Blatt
9101b,Fay Hartwick
9100b,Diane Best
9096b,Granger Gardens
9095b,Paul Sorano
9080b,Fred C Hill
9073b,AVSA
9070c,Kay Mitchell
9070b,Linda Rowe
9067b,Denise Showalter
9066b,Marie Flotterud
9063c,Christel Collier
9063b,Valerie Despres
9055c,Cheryl Stevens
9055b,Janet Stromborg
9049b,AVSA
9046c,Irene Fredette
9046b,Joyce Myers
902c,Sady Garcia
902b,Neil Lipson
9022c,Lenny Winter
9022b,AVSA
9018c,Marian Moss
9018b,Tammy Young
9012c,Marjorie Bullard
9012b,Fred C Hill
900c,Hattie Baggett
900b,Bill Daniels
9007b,Gary/Rhona Thurman
9006b,AVSA
9004c,Cheryl Stevens
9004b,Belinda Thibodeaux
9003b,Iris Keating
9001b,AVSA
8c,Madeleine Gagnon
8b,Marjorie Bullard
8998b,AVS of Queensland
8996c,Christel Collier
8996b,AVSA
8995b,Anatoly Skryabin
8994b,Janet Stromborg
8991b,Rachel^s Reflections
8990c,Hattie Baggett
8990b,Julie Milham
8988c,Joan Baker
8988b,Roni Williams
8984b,Sady Garcia
8983c,Ann-Marie Keene
8983b,Barb Werness
8982b,Hortense Pittman
8981b,Marjorie Bullard
897b,Iris Keating
8979b,Marjorie Bullard
8978b,Doug Hamilton
8976c,Jana in Indiana
8976b,Christel Collier
8975b,Iris Keating
8971c,Anatoly Skryabin
8971b,Janet Stromborg
8968b,Barb Werness
8965b,Iris Keating
8963b,Fay Wagman
8962c,Lenny Winter
8962b,Neil Lipson
8961c,Tea Gallela
8961b,Marjorie Bullard
8950c,Nancy Robitaille
8950b,Marjorie Bullard
894c,Michaelene Johnson
894b,Belinda Thibodeaux
8947c,Nancy Robitaille
8947b,Fay Wagman
8946c,Janet Stromborg
8946b,M. Gandolfo
8944b,Bob Lombard
8943c,Linda Rowe
8943b,Violet Gallery
8942c,Joyce Myers
8942b,M. Gandolfo
8928b,Robin J. Rayburn
8927c,Tatiana Omelchenko
8927b,Violet Gallery
8926b,Champion
8922c,Violets4You
8922b,Bob Lombard
8921b,AVSA
891c,Janet Riemer
891b,Janet Riemer
8918c,Wayne Discher
8918b,Anatoly Skryabin
8916b,Jeri Anderson
8914c,Kay Mitchell
8914b,AVSA
8913b,Marjorie Bullard
8911b,AVSA
8904b,Paul Sorano
8903b,Elenetta Marshall
8901c,Zuzanna Gulaj
8901b,Ann-Marie Keene
8900c,Tea Gallela
8900b,Paul Thompson
88c,David Dick
88b,Hattie Baggett
8899b,Linda Rowe
8898b,Baker
8893b,Iris Keating
8891b,Joan Baker
8885c,Christel Collier
8885b,Cheryl Stevens
8882c,Elenetta Marshall
8882b,Violet Gallery
8881b,AVSA
8872c,Aloysius Seow
8872b,Joan Baker
8866c,Fran Traylor
8866b,Christel Collier
8860c,Tammy Turner
8860b,George Gay
885b,Hortense Pittman
8858b,Linda Rowe
8850b,Fay Wagman
8848b,Pat Addison
8844b,AVSA
8842b,AVSA
8831c,Anatoly Skryabin
8831b,Violet Gallery
8829c,Kay Mitchell
8829b,Elenetta Marshall
8826b,AVSA
8822b,Iris Keating
8820c,Joan Thompson
8820b,Kay Mitchell
8814c,Linda Owens
8814b,Fay Wagman
8813b,Diane Best
8811c,Joyce Myers
8811b,Marjorie Bullard
880c,Hattie Baggett
880b,Anatoly Skryabin
8800b,Mary Welch
87b,Hattie Baggett
8794c,Tatiana Omelchenko
8794b,Diane Best
8787b,Steve Coon
8782b,Iris Keating
8779c,Kay Mitchell
8779b,Kay Mitchell
8778c,Robert Albro
8778b,Hiroko Endo
875b,Marjorie Bullard
8754b,Wayne Discher
8753c,Sady Garcia
8753b,Marjorie Bullard
874c,Stanley Ko
874b,Joyce Myers
8748b,Anatoly Skryabin
8746b,AVSA
8745c,AVS of Queensland
8745b,Denise Showalter
8736c,Jim Boyer
8736b,AVSA
8734b,Anatoly Skryabin
8732c,Christel Collier
8732b,Marjorie Bullard
8728c,Tea Gallela
8728b,Linda Rowe
8727b,Iris Keating
8724c,Janice Norton
8724b,Janice Norton
8723c,Ivana Malovan�kov�
8723b,Rachel^s Reflections
8721b,AVSA
871c,David Dick
871b,Cindy Heitkamp
8718c,Joan Baker
8718b,EvaBritta Thorssell
8716b,Northern CA Council
8713b,Michiya Akuzawa
8710b,Hawley
8708b,AVSA
8707c,Diane Best
8707b,Cheryl Stevens
8705b,Bluebird Greenhouse
8700c,Shantel Garcia
8700b,Violet Gallery
86b,Northern CA Council
8689b,Ruth Coulson
8682c,Nancy Robitaille
8682b,Steve Coon
8678b,Betty Terry
8674b,Valerie Despres
8673c,Linda Rowe
8673b,Anatoly Skryabin
8671c,Paul Sorano
8671b,Christel Collier
8665b,Irene Fredette
8662c,Janet Stromborg
8662b,Rachel^s Reflections
8657c,Bob Lombard
8657b,Fran Traylor
8652c,Joan Baker
8652b,Diane Best
8651b,Hawley
8644c,Marjorie Bullard
8644b,Marjorie Bullard
8643b,Northern CA Council
8630c,Northern CA Council
8630b,Northern CA Council
8620b,Northern CA Council
8616c,Denise Showalter
8616b,Belinda Thibodeaux
860b,Champion
8608b,Ernest Braun
85c,Joan Baker
85b,Bluebird Greenhouse
8599b,Hortense Pittman
8592b,Barbara Elkin
8588c,Tatiana Omelchenko
8588b,Fran Traylor
857c,Linda Rowe
857b,Tea Gallela
8576b,Magdalena Jarzembinska
856b,Anneli Hvass
8568c,Iris Keating
8568b,Sharon Stilson
8563b,Northern CA Council
8562c,Tea Gallela
8562b,Linda Rowe
855b,Iris Keating
8559b,Carol Vaughn
8553c,Marjorie Bullard
8553b,Cindy Schott
8544c,MiChelle Foster
8544b,Janet Stromborg
8538b,Linda Rowe
8537b,Christel Collier
8529b,Northern CA Council
8522c,Barb Werness
8522b,Marjorie Bullard
8521c,Julie Gordon
8521b,George Heath
8520c,Marjorie Bullard
8520b,Barb Werness
851b,Tina Drouin
8519c,Marjorie Bullard
8519b,Aloysius Seow
8511c,Denise Showalter
8511b,Neil Lipson
8510b,Julie Milham
850b,Peggy Bowlin
8509c,Jana in Indiana
8509b,Marjorie Bullard
8508c,Tea Gallela
8508b,Lynn Canning
8507b,Viv Kay
8503b,Nancy Robitaille
8502c,Karen Harris
8502b,Viv Kay
8500b,June Fallaw
84b,Iris Keating
8499c,Fred C Hill
8499b,Cheryl Stevens
8498c,Marjorie Bullard
8498b,Doreen Ulrich
8495c,Janet Stromborg
8495b,Terry Studer
8494c,Christel Collier
8494b,Aloysius Seow
8492c,Tom Smoyer
8492b,Cheryl Stevens
8491b,Christel Collier
8490b,Joyce Myers
8489c,Belinda Thibodeaux
8489b,Ray Lavallee
8486c,Roni Williams
8486b,Marjorie Bullard
8485b,Marjorie Bullard
8484b,Shantel Garcia
8483c,Christel Collier
8483b,Janet Stromborg
8479c,Mary Welch
8479b,Bob Lombard
8478c,Eric Ensley
8478b,JoAnn Marti
8477c,Sady Garcia
8477b,Fred C Hill
8476c,Deb Nitz
8476b,Deb Nitz
8474b,Wendi Nichols Gregory
8473b,Christel Collier
846b,AVSA
8467c,Ann-Marie Keene
8467b,Janet Stromborg
8465c,Gary/Rhona Thurman
8465b,Christel Collier
8464c,Marie Flotterud
8464b,Trina Smith
8463b,Gary/Rhona Thurman
8461b,Iris Keating
8460b,Shantel Garcia
8459c,Linda Rowe
8459b,Wayne Discher
8455c,Karen Panek
8455b,Lynn Canning
8453b,Jana in Indiana
8452c,Sady Garcia
8452b,Alcie Maxwell
8451b,Joyce Myers
8449b,Terry Studer
8448b,Aloysius Seow
8446c,Marjorie Bullard
8446b,Janet Stromborg
8443b,Lynn Canning
8440c,Marian Moss
8440b,Jean Andrews
8439b,Jana in Indiana
8437c,Shantel Garcia
8437b,Sady Garcia
8436c,Sandra Reeves
8436b,Aloysius Seow
8430b,Linda Rowe
842c,Linda Rowe
842b,Winston J Goretsky
8429c,Janet Stromborg
8429b,Jean Andrews
8428c,Christel Collier
8428b,Joyce Myers
8427b,Iris Keating
8425b,Christel Collier
8424b,Iris Keating
8423c,Barb Werness
8423b,Pat Addison
8422c,Marie Flotterud
8422b,Joel Silverman
8421c,Kay Mitchell
8421b,Christel Collier
841c,Joyce Myers
841b,Barb Werness
8419b,Joyce Myers
8418c,Phyllis King
8418b,Marie Flotterud
8417b,Iris Keating
8416c,Donna Slaga
8416b,Vickie Crider
8415b,Sandra Reeves
8414c,Christel Collier
8414b,JoAnn Marti
8413c,Cynthia Hui
8413b,Janet Stromborg
8411b,Heather Fox Slusher
840c,June Fallaw
840b,Barbara Elkin
8409c,Barbara Townsend
8409b,Christel Collier
8408c,Janet Stromborg
8408b,Karen Low
8404b,Jana in Indiana
8403b,Iris Keating
8402b,Christel Collier
8401c,Sady Garcia
8401b,Janet Stromborg
8400c,Jean Andrews
8400b,Denise Showalter
839c,Diane Best
839b,Sady Garcia
8398b,Belinda Thibodeaux
8397b,Marie Flotterud
8396b,Alcie Maxwell
8394c,Candy Templeton
8394b,Candy Templeton
8393b,Linda Rowe
8392c,Marjorie Bullard
8392b,Marilyn Greer
8391c,Marjorie Bullard
8391b,Joyce Myers
8390c,Roxanne Shrewsbury
8390b,Kay Mitchell
838b,Northern CA Council
8389b,Neil Lipson
8388c,Sady Garcia
8388b,Edward Bradford
8387c,Janet Stromborg
8387b,Marjorie Bullard
8386c,Karen Panek
8386b,Christel Collier
8385c,Janet Stromborg
8385b,Vickie Crider
8384c,Cheryl Stevens
8384b,Sady Garcia
8383c,Barb Werness
8383b,Marjorie Bullard
8382c,Marjorie Bullard
8382b,Aloysius Seow
8381b,Christel Collier
8380c,Janice Norton
8380b,Roxanne Shrewsbury
837b,Hortense Pittman
8379b,Winston J Goretsky
8378c,Joan Thompson
8378b,Zuzanna Gulaj
8377c,Winston J Goretsky
8377b,David Dick
8376c,Sergey Sarychev
8376b,Karen Panek
8375c,Shantel Garcia
8375b,Janice Norton
8374c,Candy Templeton
8374b,Deb Nitz
8373b,Roxanne Shrewsbury
8372c,Marjorie Bullard
8372b,Pat J Bushong Whitehead
8371b,Barbara Townsend
8370c,Candy Templeton
8370b,Fay Wagman
8369c,Cindy Schott
8369b,Ann-Marie Keene
8368c,Janet Stromborg
8368b,Linda Rowe
8367c,Sady Garcia
8367b,Marjorie Bullard
8366c,Marjorie Bullard
8366b,Tea Gallela
8365c,Pat J Bushong Whitehead
8365b,Marjorie Bullard
8364c,Marjorie Bullard
8363c,Denise Showalter
8363b,Deb Nitz
8362b,Lynn Canning
8361c,Neil Lipson
8361b,Alcie Maxwell
8360c,Candy Templeton
8360b,Janice Norton
835b,Schroeder
8359c,Cynthia Hui
8359b,Marjorie Bullard
8358c,Shantel Garcia
8358b,Roxanne Shrewsbury
8357b,Roxanne Shrewsbury
8356b,Cheryl O^Connor
8355c,Karen Low
8355b,Joyce Myers
8354c,Fay Hartwick
8354b,Fred C Hill
8351c,Marjorie Bullard
8351b,AVSA
8350b,Iris Keating
8348b,Joyce Myers
8345c,Tea Gallela
8345b,Carlynn Scott
8344c,Janice Norton
8344b,Kay Mitchell
8343c,Christel Collier
8343b,Marjorie Bullard
8342c,Christel Collier
8342b,Janet Stromborg
8341c,Sue Dompkowski
8341b,Aloysius Seow
833c,Marilyn Greer
833b,Joan Baker
8338c,Lenny Winter
8338b,Tea Gallela
8337b,Shantel Garcia
8336b,Terry Studer
8335b,Julie Milham
8333b,Jana in Indiana
8330b,Shantel Garcia
832b,Candy Templeton
8328c,Christel Collier
8328b,Aloysius Seow
8326c,Sharon Stilson
8326b,Jean Andrews
8325c,Shantel Garcia
8325b,Julie Milham
8324c,Bob Lombard
8324b,Ruth Rogers
8323b,Ann-Marie Keene
8322b,Neil Lipson
8321b,Doreen Ulrich
8319c,Jana in Indiana
8319b,Tea Gallela
8318c,Christel Collier
8318b,Jean Andrews
8317c,Ruth Rogers
8317b,Marie Flotterud
8315c,Janet Stromborg
8315b,Janet Stromborg
8314b,Roni Williams
8309b,Joan Thompson
8308c,Sady Garcia
8308b,Marjorie Bullard
8307b,Jana in Indiana
8306c,Sady Garcia
8306b,Jean Andrews
8305c,Joyce Myers
8305b,Shantel Garcia
8303b,Lynn Canning
8302b,Jana in Indiana
8301b,Belinda Thibodeaux
8300c,Marjorie Bullard
8300b,Janet Stromborg
82b,Bluebird Greenhouse
8299c,Linda Rowe
8299b,Pat Addison
8298b,Gary/Rhona Thurman
8296c,Cindy Schott
8296b,Lenny Winter
8295b,Marjorie Bullard
8294b,Janet Stromborg
8290b,Neil Lipson
8289b,Marie Flotterud
8284c,Joe Bruns
8284b,Aloysius Seow
8282c,Joan Thompson
8282b,Bill Daniels
8280b,Shantel Garcia
8279c,Christel Collier
8279b,AVSA
8278b,Iris Keating
8276c,Tina Drouin
8276b,Cynthia Hui
8274c,Ann-Marie Keene
8274b,Joyce Myers
8273b,Phyllis King
8272c,Julie Milham
8272b,Hiroko Endo
8270b,Cheryl Stevens
826c,Janet Stromborg
826b,Belinda Thibodeaux
8269b,Janice Norton
8268b,Alcie Maxwell
8265c,MiChelle Foster
8265b,Jennifer Dang
8261c,Karen Panek
8261b,Ruth Rogers
8260b,Fran Traylor
825c,Janice Norton
825b,Tatiana Omelchenko
8259b,Marie Flotterud
8258c,David Dick
8258b,Cynthia Hui
8256b,Sady Garcia
8255c,Janet Stromborg
8255b,Denise Showalter
8253b,Gennady Komkov
8252b,AVSA
8251c,Kay Darrow
8251b,Tatiana Omelchenko
8250b,AVSA
8234b,AVSA
8232c,Neil Lipson
8232b,Marjorie Bullard
8231c,Northern CA Council
8231b,Gary/Rhona Thurman
822b,Bob Hassenauer
8212c,Iris Keating
8212b,Marie Flotterud
8205c,Karen Low
8205b,David Dick
8204b,Peggy Bowlin
81c,Anatoly Skryabin
81b,AVSA
8199b,Belinda Thibodeaux
8198c,Susan Terrell
8198b,Joan Baker
8196b,Hiroko Endo
8194c,Joyce Myers
8194b,Joyce Myers
8193c,Tea Gallela
8193b,Lynda Berggren
8191c,Joyce Myers
8191b,Tea Gallela
8190b,Shantel Garcia
818b,AVS of Queensland
8189b,Irene Fredette
8184c,Wayne Discher
8184b,Nancy Braun
8176b,Marjorie Bullard
8169c,Linda Bridges
8169b,Janet Stromborg
8166c,Gary/Rhona Thurman
8166b,Ray Sotkiewicz
8160c,Karen Low
8160b,Joan Baker
8156c,Hiroko Endo
8156b,TA Etter
8150c,Drew^s Violets
8150b,Janet Stromborg
8147b,Ruth Coulson
8144c,Carolee Carter
8144b,Carolee Carter
8140b,Cape Cod Violetry
8135b,Linda Rowe
8134c,Germain Raymond
8134b,Joan Baker
8133c,Barb Werness
8133b,Barb Werness
8127b,Sady Garcia
8125c,Janet Stromborg
8125b,Bill Johnson
8124b,Iris Keating
8123c,Marie Flotterud
8123b,Bill Johnson
8122b,Bill Johnson
8121b,Larry Hurley
8120b,Sally Wright
8119b,Larry Hurley
8118c,Marjorie Bullard
8118b,Belinda Thibodeaux
8117b,Sady Garcia
8113c,Sue Dompkowski
8113b,EvaBritta Thorssell
8112b,Iris Keating
8111b,Iris Keating
8110b,Bill Johnson
8105b,Bluebird Greenhouse
8104b,Larry Hurley
8103b,Iris Keating
8102b,Larry Hurley
8101c,Marie Flotterud
8101b,Elenetta Marshall
8100c,Larry Hurley
8100b,Dr Charles Cole
809c,Janice Norton
809b,Tatiana Omelchenko
8099b,Bill Johnson
8092b,Carolee Carter
8083b,Constantinov
8080b,June Fallaw
807b,Anatoly Skryabin
8071b,Sady Garcia
8066b,Winston J Goretsky
8063b,Viv Kay
8060b,Hortense Pittman
805c,Darryl Hoover
805b,Janet Stromborg
8054c,Linda Rowe
8054b,Cheryl Stevens
804b,Jana in Indiana
8048b,Iris Keating
8044b,Sandra Leary
8042b,AVSA
8041b,Iris Keating
8039c,Marjorie Bullard
8039b,Pat Addison
8036b,Iris Keating
8032b,Hattie Baggett
801b,Wayne Discher
8013b,Marie Flotterud
8005b,Nancy Robitaille
8004c,Nancy Robitaille
8004b,Nancy Robitaille
8001b,Ann-Marie Keene
8000c,Linda Rowe
8000b,Ann-Marie Keene
7990c,EvaBritta Thorssell
7990b,Zdenka Arientov�
7989b,Jim Boyer
7987b,AVSA
7981c,Anatoly Skryabin
7981b,Fred C Hill
7980b,Daniela Sather
797c,Drew^s Violets
797b,Diane Best
7978c,Belinda Thibodeaux
7978b,Kay Mitchell
7976c,Marjorie Bullard
7976b,John Herr
7973b,Janice Norton
7972c,Linda Rowe
7972b,Barb Werness
7971c,Heather Fox Slusher
7971b,Barb Werness
7969c,Violet Gallery
7969b,Barb Werness
7967b,Christel Collier
7966b,Tea Gallela
7965c,Viv Kay
7965b,AVSA
7964b,Janice Norton
7962c,Christel Collier
7962b,Aleksey Kolodezhny
7961b,Jean Ness
7960c,Christel Collier
7960b,Barb Werness
7959c,Northern CA Council
7959b,Marjorie Bullard
7957c,Phyllis King
7957b,Marie Flotterud
7956c,Tammy Turner
7956b,Phyllis King
7954b,Marie Flotterud
7953c,Cindy Heitkamp
7953b,Tatiana Omelchenko
7952b,Jean Ness
7951c,AVSA
7951b,AVSA
7950c,Barb Werness
7950b,Cynthia Hui
7949b,Sady Garcia
7948c,Belinda Thibodeaux
7948b,Aleksey Kolodezhny
7947c,Sady Garcia
7947b,Jean Ness
7946b,Hector Wong
7944b,Iris Keating
7943c,Neil Lipson
7943b,Christel Collier
7942c,Robin J. Rayburn
7942b,Nancy Braun
7941c,Roxanne Shrewsbury
7941b,Barb Werness
7940c,Winston J Goretsky
7940b,Barb Werness
793c,EvaBritta Thorssell
793b,Joan Baker
7938c,Sady Garcia
7938b,Barb Werness
7937b,Lynn Canning
7936c,AVSA
7936b,AVSA
7935b,Janice Norton
7933c,Tatiana Omelchenko
7933b,Barb Werness
7931c,TL Wong
7931b,Donna Slaga
7929c,Belinda Thibodeaux
7929b,Tea Gallela
7928c,Viv Kay
7928b,AVSA
7927c,Diane Best
7927b,Marie Flotterud
7926b,Christel Collier
7924b,Kay Mitchell
7922c,Marie Flotterud
7922b,Joan Baker
7919c,Janice Norton
7919b,Fred C Hill
7916c,Cheryl O^Connor
7916b,Drew^s Violets
7914c,Joan Baker
7914b,Marjorie Bullard
7912b,Fay Wagman
7911b,Fay Wagman
7910c,Joan Baker
7910b,Marjorie Bullard
790b,Diane Best
7908c,Christel Collier
7908b,Winston J Goretsky
7906b,AVS of Queensland
7901c,Lenny Winter
7901b,Linda Bridges
7900c,Joan Baker
7900b,Marie Flotterud
78c,Kay Mitchell
78b,Adrienne Harkavy
7899c,Linda Rowe
7899b,Winston J Goretsky
7898c,Tea Gallela
7898b,AVSA
7897b,Cindy Heitkamp
7896b,Phyllis King
7894c,Anatoly Skryabin
7894b,Janet Stromborg
7893b,Barb Werness
7892b,AVSA
7890c,Tammy Turner
7890b,Marjorie Bullard
7889c,Tea Gallela
7889b,Pat Addison
7888c,Claudia Brelo
7888b,John Herr
7887c,Anatoly Skryabin
7887b,Aleksey Kolodezhny
7886c,Tea Gallela
7886b,Barb Werness
7885c,Janice Norton
7885b,Lenny Winter
7884c,Linda Bridges
7884b,Marilyn Greer
7883b,Iris Keating
7882b,Julie Gordon
7880c,Linda Rowe
7880b,Christel Collier
7878c,Cheryl Stevens
7878b,Joe Bruns
7876c,Joan Baker
7876b,Joan Baker
7875b,Robin J. Rayburn
7874b,Gary/Rhona Thurman
