ID,Current Name (Latin),Proposed Name (Cyrillic),Will Move to Alias,English Translation,Has English?
20043,"EK-Solnechnyi Dozhd'","ЕК-Солнечный Дождь","EK-Solnechnyi Dozhd'","EK-Sunny Rain",Yes
20044,"EK-Solnyshko Iasnoe","ЕК-Солнышко Ясное","EK-Solnyshko Iasnoe","EK-Lucid Sun",Yes
23609,"EK-Spiaschaia Krasavitsa","ЕК-Спясчая Красавица","EK-Spiaschaia Krasavitsa","EK-Sleeping Beauty",Yes
24123,"EK-Strasburg","ЕК-Страсбург","EK-Strasburg","",No
21883,"EK-Tatiana","ЕК-Татяна","EK-Tatiana","",No
23610,"EK-Tropicheskii Polden'","ЕК-Тропический Полдень","EK-Tropicheskii Polden'","EK-Tropical Noon",Yes
21884,"EK-Tsaritsa Magnoliia","ЕК-Царица Магнолийа","EK-Tsaritsa Magnoliia","EK-Queen Magnolia",Yes
21885,"EK-Vanil'noe Nebo","ЕК-Ванильное Небо","EK-Vanil'noe Nebo","EK-Vanilla sky",Yes
21886,"EK-Versal'","ЕК-Версаль","EK-Versal'","EK-Versailles",Yes
24124,"EK-Vesennii Grom","ЕК-Весенний Гром","EK-Vesennii Grom","",No
23611,"EK-Viktoria","ЕК-Викторя","EK-Viktoria","",No
21887,"EK-Vishnevaia Metel'","ЕК-Вишневая Метель","EK-Vishnevaia Metel'","EK-Cherry Blizzard",Yes
21888,"EK-Vlastelin Kolets","ЕК-Властелин Колец","EK-Vlastelin Kolets","EK-Lord of the Rings",Yes
21889,"EK-Volshebnitsa Vesna","ЕК-Волшебница Весна","EK-Volshebnitsa Vesna","EK-Enchantress Spring",Yes
21890,"EK-Vozdushnyi Potselui","ЕК-Воздушный Поцелуи","EK-Vozdushnyi Potselui","EK-Blowing Kisses",Yes
21891,"EK-Zelenye Iablochki","ЕК-Зеленые Яблочки","EK-Zelenye Iablochki","EK-Green Apples",Yes
20045,"EK-Zhar-Ptitsa","ЕК-Жар-Птица","EK-Zhar-Ptitsa","EK-Firebird",Yes
20046,"EK-Zhemchuzhnyi Zefir","ЕК-Жемчужный Зефир","EK-Zhemchuzhnyi Zefir","EK-Winter Cherry",Yes
21892,"EK-Zimniaia Vishnia","ЕК-Зимняя Вишня","EK-Zimniaia Vishnia","",No
24125,"EK-Zimnii Son","ЕК-Зимний Сон","EK-Zimnii Son","",No
21893,"EK-Zvezdnyi Dozhd'","ЕК-Звездный Дождь","EK-Zvezdnyi Dozhd'","EK-Star Rain",Yes
21931,"LE-Adazhio","ЛЕ-Адажио","LE-Adazhio","LE-Adagio",Yes
23587,"LE-Aisedora","ЛЕ-Аиседора","LE-Aisedora","",No
23588,"LE-Aisha","ЛЕ-Аиша","LE-Aisha","",No
21932,"LE-Aprel'skie Treli","ЛЕ-Апрельские Трели","LE-Aprel'skie Treli","LE-April Trills",Yes
21933,"LE-Baunti","ЛЕ-Баунти","LE-Baunti","LE-Bounty",Yes
23589,"LE-Berillov'yi Inei","ЛЕ-Берилловьый Иней","LE-Berillov'yi Inei","LE-Beryl Rime",Yes
23590,"LE-Blondi","ЛЕ-Блонди","LE-Blondi","",No
21934,"LE-Detskaia Ulybka","ЛЕ-Децкая Улыбка","LE-Detskaia Ulybka","LE-Child's Smile",Yes
23745,"LE-Donna","ЛЕ-Донна","LE-Donna","",No
23591,"LE-Eliseiskie Polia","ЛЕ-Елисейские Поля","LE-Eliseiskie Polia","LE-Champs Elysees",Yes
21935,"LE-Eseniia","ЛЕ-Есенийа","LE-Eseniia","",No
23612,"LE-Esmeralda","ЛЕ-Есмералда","LE-Esmeralda","",No
23613,"LE-Fandango","ЛЕ-Фанданго","LE-Fandango","",No
23614,"LE-Flamenco","ЛЕ-Фламенcо","LE-Flamenco","",No
21936,"LE-Fuksievoe Kruzhevo","ЛЕ-Фуксиевое Кружево","LE-Fuksievoe Kruzhevo","LE-Fuchsia Lace",Yes
23615,"LE-Goluboi Lotos","ЛЕ-Голубой Лотос","LE-Goluboi Lotos","LE-Blue Lotus",Yes
21937,"LE-Golubye Iubochki","ЛЕ-Голубые Юбочки","LE-Golubye Iubochki","LE-Blue Skirts",Yes
23616,"LE-Gortenziia","ЛЕ-Гортензийа","LE-Gortenziia","LE-Hydrangea",Yes
23617,"LE-Irlandiia","ЛЕ-Ирландийа","LE-Irlandiia","LE-Ireland",Yes
23618,"LE-Ispanski Tanets","ЛЕ-Испански Танец","LE-Ispanski Tanets","LE-Spanish Dance",Yes
23619,"LE-Iuzhnaia Noch'","ЛЕ-Южная Ночь","LE-Iuzhnaia Noch'","LE-South Night",Yes
23620,"LE-Ivetta","ЛЕ-Иветта","LE-Ivetta","",No
23621,"LE-Izolda","ЛЕ-Изолда","LE-Izolda","",No
23746,"LE-Karnaval'naia Noch'","ЛЕ-Карнавальная Ночь","LE-Karnaval'naia Noch'","LE-Carnival Night",Yes
23622,"LE-Karusel'","ЛЕ-Карусель","LE-Karusel'","LE-Carousel",Yes
23623,"LE-Kleopatra","ЛЕ-Клеопатра","LE-Kleopatra","LE-Cleopatra",Yes
23624,"LE-Klubnichnaia Vesna","ЛЕ-Клубничная Весна","LE-Klubnichnaia Vesna","LE-Strawberry Spring",Yes
23625,"LE-Kol'tsa Saturna","ЛЕ-Кольца Сатурна","LE-Kol'tsa Saturna","LE-Rings of Saturn",Yes
21938,"LE-Koroli i Kapusta","ЛЕ-Короли и Капуста","LE-Koroli i Kapusta","LE-Cabbages and Kings",Yes
23626,"LE-Koster","ЛЕ-Костер","LE-Koster","LE-Bonfire",Yes
23627,"LE-Kupava","ЛЕ-Купава","LE-Kupava","",No
23628,"LE-Lady Winter","ЛЕ-Лады Wинтер","LE-Lady Winter","",No
21939,"LE-Las Vegas","ЛЕ-Лас Вегас","LE-Las Vegas","",No
21940,"LE-Ledi v Belom","ЛЕ-Леди в Белом","LE-Ledi v Belom","",No
23629,"LE-Legkaia Grust'","ЛЕ-Легкая Грусть","LE-Legkaia Grust'","LE-Easy Sadness",Yes
23747,"LE-Lel'","ЛЕ-Лель","LE-Lel'","",No
23630,"LE-Letniaia Noch'","ЛЕ-Летняя Ночь","LE-Letniaia Noch'","LE-Summer Night",Yes
23631,"LE-Leto Krasnoe","ЛЕ-Лето Красное","LE-Leto Krasnoe","LE-Summer Red",Yes
23632,"LE-Londonskii Rassvet","ЛЕ-Лондонский Рассвет","LE-Londonskii Rassvet","LE-London Dawn",Yes
23633,"LE-Luntik","ЛЕ-Лунтик","LE-Luntik","",No
23634,"LE-Madzhenta","ЛЕ-Маджента","LE-Madzhenta","LE-Magenta",Yes
21941,"LE-Maia Plisetskaia","ЛЕ-Мая Плисецкая","LE-Maia Plisetskaia","",No
21942,"LE-Mal'vina","ЛЕ-Мальвина","LE-Mal'vina","",No
23635,"LE-Marilyn","ЛЕ-Марилын","LE-Marilyn","",No
23748,"LE-Martsipanovaia Roza","ЛЕ-Марципановая Роза","LE-Martsipanovaia Roza","LE-Marzipan Rose",Yes
23636,"LE-Mednyi Vsadnik","ЛЕ-Медный Всадник","LE-Mednyi Vsadnik","LE-Bronze Horsemnan",Yes
21943,"LE-Meri Kei","ЛЕ-Мери Кей","LE-Meri Kei","LE-Mary Kay",Yes
21944,"LE-More Schast'ia","ЛЕ-Море Счастья","LE-More Schast'ia","LE-Sea of Happiness",Yes
23637,"LE-Nastia","ЛЕ-Настя","LE-Nastia","",No
23638,"LE-Neapolitanskii Zakat","ЛЕ-Неаполитанский Закат","LE-Neapolitanskii Zakat","LE-Neapolitan Sunset",Yes
23639,"LE-Odaliska","ЛЕ-Одалиска","LE-Odaliska","LE-Odalisque",Yes
23640,"LE-Ognennyi Tsvetok","ЛЕ-Огненный Цветок","LE-Ognennyi Tsvetok","LE-Fire Flower",Yes
21945,"LE-Osenniaia Fantaziia","ЛЕ-Осенняя Фантазийа","LE-Osenniaia Fantaziia","LE-Autumn Fantasy",Yes
23641,"LE-Oskar","ЛЕ-Оскар","LE-Oskar","",No
21946,"LE-Parizhskie Tainy","ЛЕ-Парижские Таины","LE-Parizhskie Tainy","LE-Mysteries of Paris",Yes
21947,"LE-Persikovoe Siianie","ЛЕ-Персиковое Сийание","LE-Persikovoe Siianie","LE-Peach Glow",Yes
21948,"LE-Pervyi Led","ЛЕ-Первый Лед","LE-Pervyi Led","LE-First Ice",Yes
21949,"LE-Pisanka","ЛЕ-Писанка","LE-Pisanka","LE-Easter Eggs",Yes
21950,"LE-Pole Chudes","ЛЕ-Поле Чудес","LE-Pole Chudes","LE-Field of Dreams",Yes
23749,"LE-Praga","ЛЕ-Прага","LE-Praga","LE-Prague",Yes
21951,"LE-Prekrasnaia Kreolka","ЛЕ-Прекрасная Креолка","LE-Prekrasnaia Kreolka","LE-Beautiful Creole",Yes
23750,"LE-Pyshechka","ЛЕ-Пышечка","LE-Pyshechka","",No
21952,"LE-Raduzhnye Bliki","ЛЕ-Радужные Блики","LE-Raduzhnye Bliki","LE-Rainbow Glares",Yes
23642,"LE-Rozhdenie Galactiki","ЛЕ-Рождение Галаcтики","LE-Rozhdenie Galactiki","LE-Birth of the Galaxy",Yes
23643,"LE-Rozmari","ЛЕ-Розмари","LE-Rozmari","LE-Rosemary",Yes
23751,"LE-Rozovyi Zefir","ЛЕ-Розовый Зефир","LE-Rozovyi Zefir","LE-Pink Marshmallows",Yes
23644,"LE-Rubin Mogolov","ЛЕ-Рубин Моголов","LE-Rubin Mogolov","LE-Ruby Mughal",Yes
21953,"LE-Sashen'ka","ЛЕ-Сашенька","LE-Sashen'ka","",No
23645,"LE-Sedoy Graf","ЛЕ-Седоы Граф","LE-Sedoy Graf","LE-Grey-haired Count",Yes
23646,"LE-Sestra Korolevy","ЛЕ-Сестра Королевы","LE-Sestra Korolevy","LE-Queen's Sister",Yes
23647,"LE-Shato Brion","ЛЕ-Шато Брион","LE-Shato Brion","LE-Chateaubriand",Yes
23648,"LE-Shato Margo","ЛЕ-Шато Марго","LE-Shato Margo","LE-Chateau Margaux",Yes
23649,"LE-Sirenevaia Nezhnost'","ЛЕ-Сиреневая Нежность","LE-Sirenevaia Nezhnost'","LE-Lilac Tenderness",Yes
23650,"LE-Sitets Letnego Neba","ЛЕ-Ситец Летнего Неба","LE-Sitets Letnego Neba","LE-Chintz Summer Sky",Yes
21954,"LE-Snezhnyi Balet","ЛЕ-Снежный Балет","LE-Snezhnyi Balet","LE-Snow Ballet",Yes
23651,"LE-Staika Babochek","ЛЕ-Стаика Бабочек","LE-Staika Babochek","LE-Flock of Butterflies",Yes
23652,"LE-Stefaniia Liuks","ЛЕ-Стефанийа Люкс","LE-Stefaniia Liuks","LE-Stefania Lux",Yes
21955,"LE-Svadebnyi Marsh","ЛЕ-Свадебный Марш","LE-Svadebnyi Marsh","LE-Wedding March",Yes
21956,"LE-Svadebnyi Nariad","ЛЕ-Свадебный Наряд","LE-Svadebnyi Nariad","LE-Wedding Dress",Yes
23653,"LE-Tantsor Disco","ЛЕ-Танцор Дисcо","LE-Tantsor Disco","LE-Disco Dancer",Yes
23654,"LE-Tigra","ЛЕ-Тигра","LE-Tigra","LE-Tiger",Yes
21957,"LE-Tsarevna Liagushka","ЛЕ-Царевна Лягушка","LE-Tsarevna Liagushka","LE-Frog Princess",Yes
21958,"LE-Tsyganskii Romans","ЛЕ-Цыганский Романс","LE-Tsyganskii Romans","LE-Gypsy Romance",Yes
21959,"LE-Vanessa","ЛЕ-Ванесса","LE-Vanessa","",No
23752,"LE-Vega","ЛЕ-Вега","LE-Vega","",No
21960,"LE-Velikolepnyi Gosha","ЛЕ-Великолепный Гоша","LE-Velikolepnyi Gosha","LE-Great Gosha",Yes
21961,"LE-Violetta","ЛЕ-Виолетта","LE-Violetta","",No
23655,"LE-Vishnia v Sakhare","ЛЕ-Вишня в Сахаре","LE-Vishnia v Sakhare","LE-Cherry in the Sahara",Yes
21962,"LE-Vizit","ЛЕ-Визит","LE-Vizit","LE-Visit",Yes
23753,"LE-Vladimir","ЛЕ-Владимир","LE-Vladimir","",No
23656,"LE-Zelenaia Roza","ЛЕ-Зеленая Роза","LE-Zelenaia Roza","LE-Green Rose",Yes
23657,"LE-Zhisel'","ЛЕ-Жисель","LE-Zhisel'","LE-Giselle",Yes
23658,"LE-Zolotaia Lilia","ЛЕ-Золотая Лиля","LE-Zolotaia Lilia","LE-Golden Lily",Yes
23674,"RS-Akvamarin","РС-Аквамарин","RS-Akvamarin","RS-Aquamarine",Yes
23675,"RS-Alye Parusa","РС-Алые Паруса","RS-Alye Parusa","RS-Scarlet Sails",Yes
23676,"RS-Annabel'","РС-Аннабель","RS-Annabel'","",No
23702,"RS-Ariia","РС-Арийа","RS-Ariia","RS-Aria",Yes
23766,"RS-B'ianka","РС-Бьянка","RS-B'ianka","RS-Bianca",Yes
24129,"RS-Baron Miunkhauzen","РС-Барон Мюнхаузен","RS-Baron Miunkhauzen","",No
20240,"RS-Belaia Magiia","РС-Белая Магийа","RS-Belaia Magiia","RS-White Magic",Yes
24068,"RS-Belyi Shelk","РС-Белый Шелк","RS-Belyi Shelk","",No
20241,"RS-Bezmiatezhnyi Son","РС-Безмятежный Сон","RS-Bezmiatezhnyi Son","RS-Untrouble Sleep",Yes
23677,"RS-Bog Solntsa","РС-Бог Солнца","RS-Bog Solntsa","RS-Sun God",Yes
24130,"RS-Bogatyr'","РС-Богатырь","RS-Bogatyr'","",No
23767,"RS-Bomond","РС-Бомонд","RS-Bomond","RS-Beaumont",Yes
24069,"RS-Buket Romashek","РС-Букет Ромашек","RS-Buket Romashek","",No
24070,"RS-Chernaia Magiia","РС-Черная Магийа","RS-Chernaia Magiia","",No
22043,"RS-Dolores","РС-Долорес","RS-Dolores","",No
24131,"RS-Don Kikhot","РС-Дон Кихот","RS-Don Kikhot","",No
24132,"RS-Egiptianka","РС-Египтянка","RS-Egiptianka","",No
23678,"RS-Faraon","РС-Фараон","RS-Faraon","RS-Pharaoh",Yes
20242,"RS-Favoritka","РС-Фаворитка","RS-Favoritka","RS-Favorite",Yes
23768,"RS-Freilina","РС-Фрейлина","RS-Freilina","RS-Maid of Honor",Yes
24133,"RS-Garmoniia","РС-Гармонийа","RS-Garmoniia","",No
20243,"RS-Garmoniia","РС-Гармонийа","RS-Garmoniia","RS-Harmony",Yes
23679,"RS-Gertsoginia","РС-Герцогиня","RS-Gertsoginia","RS-Duchess",Yes
23680,"RS-Golubaia Riviera","РС-Голубая Ривиера","RS-Golubaia Riviera","RS-Blue Riviera",Yes
22044,"RS-Goluboi Shifon","РС-Голубой Шифон","RS-Goluboi Shifon","RS-Blue Chiffon",Yes
20244,"RS-Golubushka","РС-Голубушка","RS-Golubushka","RS-Dear",Yes
23681,"RS-Grafinia de Monsoro","РС-Графиня де Монсоро","RS-Grafinia de Monsoro","RS-Countess of Monsoro",Yes
24071,"RS-Iaponskii Uzhin","РС-Японский Ужин","RS-Iaponskii Uzhin","",No
20245,"RS-Iziashchnaia Lilia","РС-Изящная Лиля","RS-Iziashchnaia Lilia","RS-Graceful Lily",Yes
24072,"RS-Karnaval","РС-Карнавал","RS-Karnaval","",No
24134,"RS-Korsar","РС-Корсар","RS-Korsar","",No
24073,"RS-Kosmonavt","РС-Космонавт","RS-Kosmonavt","",No
23769,"RS-Kumir","РС-Кумир","RS-Kumir","RS-Idol",Yes
20246,"RS-Lavina","РС-Лавина","RS-Lavina","RS-Avalanche",Yes
20247,"RS-Ledovyi Plen","РС-Ледовый Плен","RS-Ledovyi Plen","RS-Ice Trap",Yes
24074,"RS-Lesnaia Melodiia","РС-Лесная Мелодийа","RS-Lesnaia Melodiia","",No
23682,"RS-Lesno Kruzhevo","РС-Лесно Кружево","RS-Lesno Kruzhevo","RS-Forest Lace",Yes
24135,"RS-Lesnoe Kruzhevo","РС-Лесное Кружево","RS-Lesnoe Kruzhevo","",No
20248,"RS-Liven'","РС-Ливень","RS-Liven'","RS-Heavy Rain",Yes
20249,"RS-Lolita","РС-Лолита","RS-Lolita","",No
23683,"RS-Maestro","РС-Маестро","RS-Maestro","",No
20250,"RS-Maiskie Grozy","РС-Маиские Грозы","RS-Maiskie Grozy","RS-Thunderstorms in May",Yes
23684,"RS-Manuela","РС-Мануела","RS-Manuela","",No
23685,"RS-Margaret","РС-Маргарет","RS-Margaret","",No
23686,"RS-Marsela","РС-Марсела","RS-Marsela","",No
22045,"RS-Mavka","РС-Мавка","RS-Mavka","RS-Nymph",Yes
20251,"RS-Miss Sovershenstvo","РС-Мисс Совершенство","RS-Miss Sovershenstvo","RS-Miss Perfection",Yes
20252,"RS-Morskaia Printsessa","РС-Морская Принцесса","RS-Morskaia Printsessa","RS-Sea Princess",Yes
20253,"RS-Nebesno-Golubye Vzory","РС-Небесно-Голубые Взоры","RS-Nebesno-Golubye Vzory","RS-Sky Blue Eyes",Yes
22046,"RS-Nezhnoe Prikosnovenie","РС-Нежное Прикосновение","RS-Nezhnoe Prikosnovenie","RS-Gentle Touch",Yes
23687,"RS-Ofeliia","РС-Офелийа","RS-Ofeliia","",No
23688,"RS-Ogon' Zhelanii","РС-Огонь Желаний","RS-Ogon' Zhelanii","RS-Fire of Desires",Yes
24136,"RS-Operetta","РС-Оперетта","RS-Operetta","",No
24137,"RS-Otello","РС-Отелло","RS-Otello","",No
24138,"RS-Passiia","РС-Пассийа","RS-Passiia","",No
24139,"RS-Pifagor","РС-Пифагор","RS-Pifagor","",No
23689,"RS-Popurri","РС-Попурри","RS-Popurri","RS-Potpourri",Yes
24140,"RS-Povelitel'nitsa","РС-Повелительница","RS-Povelitel'nitsa","",No
20254,"RS-Prozrachnyi Ruchei","РС-Прозрачный Ручей","RS-Prozrachnyi Ruchei","RS-Clear Creek",Yes
23770,"RS-Ramzes","РС-Рамзес","RS-Ramzes","",No
22047,"RS-Raznoperistaia Ptichka","РС-Разноперистая Птичка","RS-Raznoperistaia Ptichka","RS-Colorful Bird",Yes
23690,"RS-Rosinka","РС-Росинка","RS-Rosinka","",No
23691,"RS-Rozhdenie Zari","РС-Рождение Зари","RS-Rozhdenie Zari","RS-Birth of Dawn",Yes
20255,"RS-Samba Belykh Motyl'kov","РС-Самба Белых Мотыльков","RS-Samba Belykh Motyl'kov","RS-White Moth Samba",Yes
20256,"RS-Serdtse Angela","РС-Сердце Ангела","RS-Serdtse Angela","RS-Angel's Heart",Yes
23692,"RS-Sin'orita","РС-Синьорита","RS-Sin'orita","RS-Se�orita",Yes
23693,"RS-Sirena","РС-Сирена","RS-Sirena","",No
24075,"RS-Sirenevye Oblaka","РС-Сиреневые Облака","RS-Sirenevye Oblaka","",No
22048,"RS-Slivovyi Punsh","РС-Сливовый Пунш","RS-Slivovyi Punsh","RS-Plum Punch",Yes
23694,"RS-Sneg v Aprele","РС-Снег в Апреле","RS-Sneg v Aprele","RS-Snow in April",Yes
22049,"RS-Snovideniia","РС-Сновиденийа","RS-Snovideniia","RS-Dreams",Yes
23695,"RS-Soblazn","РС-Соблазн","RS-Soblazn","RS-Temptation",Yes
24076,"RS-Taina Druidov","РС-Таина Друидов","RS-Taina Druidov","",No
20257,"RS-Tainstvennyi Strannik","РС-Таинственный Странник","RS-Tainstvennyi Strannik","RS-Mysterious Wanderer",Yes
24141,"RS-Tropikana","РС-Тропикана","RS-Tropikana","",No
23696,"RS-Tsezar'","РС-Цезарь","RS-Tsezar'","RS-Caesar",Yes
22050,"RS-Tsvetochnyi Vihr'","РС-Цветочный Виhрь","RS-Tsvetochnyi Vihr'","RS-Flower Swirl",Yes
24142,"RS-Tsypa","РС-Цыпа","RS-Tsypa","",No
20258,"RS-Unesenniae Vetrom","РС-Унесенняе Ветром","RS-Unesenniae Vetrom","RS-Gone With the Wind",Yes
